iter	Passed	Remaining
0	10	3283
1	20	3102
2	30	2988
3	42	3119
4	49	2941
5	58	2860
6	66	2796
7	76	2793
8	88	2845
9	99	2890
10	109	2873
11	119	2861
12	131	2909
13	143	2926
14	151	2887
15	161	2858
16	168	2807
17	176	2772
18	185	2743
19	195	2739
20	210	2796
21	220	2784
22	228	2757
23	236	2724
24	246	2707
25	254	2677
26	262	2652
27	270	2626
28	278	2605
29	286	2578
30	294	2556
31	302	2532
32	310	2515
33	319	2495
34	326	2472
35	334	2453
36	342	2434
37	351	2421
38	360	2415
39	371	2413
40	380	2404
41	390	2396
42	403	2409
43	418	2432
44	434	2459
45	451	2494
46	466	2508
47	475	2495
48	483	2479
49	491	2458
50	500	2442
51	507	2421
52	515	2403
53	523	2385
54	531	2369
55	539	2352
56	548	2336
57	556	2320
58	565	2309
59	570	2282
60	581	2278
61	591	2268
62	600	2257
63	609	2246
64	618	2235
65	626	2220
66	636	2212
67	644	2197
68	653	2186
69	661	2172
70	671	2166
71	681	2159
72	690	2146
73	697	2131
74	709	2127
75	718	2116
76	727	2105
77	734	2090
78	742	2078
79	750	2064
80	760	2056
81	771	2050
82	781	2042
83	790	2032
84	798	2020
85	807	2008
86	816	1998
87	826	1991
88	836	1983
89	850	1983
90	863	1982
91	877	1984
92	889	1979
93	901	1974
94	912	1969
95	920	1956
96	928	1943
97	937	1931
98	945	1919
99	957	1915
100	966	1904
101	975	1893
102	984	1882
103	992	1871
104	1001	1859
105	1010	1849
106	1018	1836
107	1027	1826
108	1035	1814
109	1043	1801
110	1050	1788
111	1062	1783
112	1073	1776
113	1080	1763
114	1090	1753
115	1095	1738
116	1105	1728
117	1120	1728
118	1146	1743
119	1161	1742
120	1171	1733
121	1185	1729
122	1194	1718
123	1203	1707
124	1212	1697
125	1220	1685
126	1228	1673
127	1237	1662
128	1245	1650
129	1254	1640
130	1262	1628
131	1271	1618
132	1281	1609
133	1291	1599
134	1303	1592
135	1317	1589
136	1332	1585
137	1344	1577
138	1355	1570
139	1367	1562
140	1374	1550
141	1383	1539
142	1391	1527
143	1399	1516
144	1407	1504
145	1418	1495
146	1432	1490
147	1440	1479
148	1449	1468
149	1457	1457
150	1464	1445
151	1473	1434
152	1481	1423
153	1490	1412
154	1498	1401
155	1506	1390
156	1514	1379
157	1522	1368
158	1530	1356
159	1537	1345
160	1546	1334
161	1554	1323
162	1562	1313
163	1570	1302
164	1579	1292
165	1587	1281
166	1596	1271
167	1603	1260
168	1612	1249
169	1620	1239
170	1629	1229
171	1638	1219
172	1646	1208
173	1655	1198
174	1663	1188
175	1672	1178
176	1680	1167
177	1689	1158
178	1697	1147
179	1706	1137
180	1715	1127
181	1722	1117
182	1731	1107
183	1742	1098
184	1752	1089
185	1762	1080
186	1778	1074
187	1800	1072
188	1811	1063
189	1821	1054
190	1831	1044
191	1839	1034
192	1847	1024
193	1856	1014
194	1863	1003
195	1871	993
196	1880	982
197	1887	972
198	1896	962
199	1904	952
200	1913	942
201	1920	931
202	1931	922
203	1940	913
204	1948	903
205	1957	893
206	1964	882
207	1973	872
208	1980	862
209	1991	853
210	2000	843
211	2008	833
212	2016	823
213	2024	813
214	2033	803
215	2043	794
216	2053	785
217	2062	775
218	2071	766
219	2082	757
220	2092	748
221	2101	738
222	2110	728
223	2119	719
224	2127	709
225	2137	700
226	2151	691
227	2165	683
228	2174	674
229	2183	664
230	2190	654
231	2201	645
232	2211	635
233	2220	626
234	2230	617
235	2243	608
236	2258	600
237	2272	592
238	2283	582
239	2293	573
240	2304	564
241	2311	554
242	2320	544
243	2328	534
244	2337	524
245	2345	514
246	2353	504
247	2361	495
248	2368	485
249	2377	475
250	2385	465
251	2394	456
252	2407	447
253	2416	437
254	2425	428
255	2433	418
256	2442	408
257	2450	398
258	2460	389
259	2469	379
260	2477	370
261	2486	360
262	2493	350
263	2502	341
264	2510	331
265	2518	321
266	2525	312
267	2533	302
268	2542	292
269	2550	283
270	2558	273
271	2565	264
272	2574	254
273	2581	244
274	2590	235
275	2599	226
276	2607	216
277	2615	207
278	2623	197
279	2631	187
280	2640	178
281	2648	169
282	2656	159
283	2665	150
284	2674	140
285	2684	131
286	2693	122
287	2706	112
288	2721	103
289	2736	94
290	2748	85
291	2759	75
292	2770	66
293	2778	56
294	2786	47
295	2794	37
296	2803	28
297	2811	18
298	2820	9
299	2828	0
